Cutthroat1	hachazo de Bartuc
ModStr5d	Resistencia máxima
Mauler	Vapuleador
StrSkill41	 daño
D2bnetHelp13	/whisper <*accountname>, /w <*accountname>
D2bnetHelp13b	/msg <*accountname>, /m <*accountname>
D2bnetHelp15	/squelch <*accountname>
D2bnetHelp15b	/ignore <*accountname>
D2bnetHelp16	/unsquelch <*accountname>
D2bnetHelp16b	/unignore <*accountname>
D2bnetHelp21	/ban <*accountname>
D2bnetHelp23	/designate <*accountname>
D2bnetHelp24	/kick <*accountname>
D2bnetHelp26	/whois <*accountname>, /where <*accountname>
D2bnetHelp26b	/whereis <*accountname>
D2bnetHelp32	/stats <*accountname> <programID>
x	INFIERNO
x	PESADILLA
x	NORMAL
x	SELECCIONAR DIFICULTAD
ModStr6e	Drenaje de resistencia más lento
xhm	yelmo alado
Hsarus' Defense	Defensa de Hsarus
strModEnhancedDamage	Daño mejorado\n
strModAllResistances	todas las resistencias +%d
strModAllSkillLevels	 +%d a todos los niveles de habilidad
strModFireDamage	 +%d daño de fuego
strModFireDamageRange	Añade %d-%d daño de fuego
strModColdDamage	 +%d daño frío
strModColdDamageRange	Añade %d-%d daño frío
strModLightningDamage	 +%d daño de rayos
strModLightningDamageRange	Añade %d-%d daño de rayos
strModMagicDamage	 +%d daño mágico
strModMagicDamageRange	Añade %d-%d daño mágico
strModPoisonDamage	 +%d daño de veneno durante %d segundos
strModPoisonDamageRange	Añade %d-%d daño de veneno durante %d segundos
strModMinDamage	 +%d daño
strModMinDamageRange	Añade %d-%d daño
strModEnhancedDamage	Daño aumentado
ModStre9j	Daño de fuego reducido por
ModStre9k	Capa sombras
ModStre9l	Daño de rayos reducido por
ModStre9m	Daño de veneno reducido por
ModStre9n	Absorbe el daño mágico
ModStre9o	Absorbe el daño de fuego
ModStre9p	Absorbe el daño de frío
ModStre9q	Absorbe el daño de rayos
ModStre9r	Absorbe el daño de veneno
of the Wraith	del espectro
of Equilibrium	de equilibrio
Valkyrie's	de valquiria
Maiden's	de doncella
Blank	inválido
strEskilllighttoattack	 a tu ataque
StrSklTabItem1	+%d para habilidades de jabalina y lanza
StrSklTabItem2	+%d para habilidades pasivas y mágicas
StrSklTabItem3	+%d para habilidades de arco y ballesta
StrSklTabItem4	+%d para aura defensiva
StrSklTabItem5	+%d para aura ofensiva
StrSklTabItem6	+%d para habilidades de combate
StrSklTabItem6	+%d para habilidades de invocación
StrSklTabItem7	+%d para habilidades de veneno y hueso
StrSklTabItem8	+%d para maldiciones
StrSklTabItem10	+%d para grito en guerra
StrSklTabItem11	+%d para habilidades de combate
StrSklTabItem12	+%d para dominios
StrSklTabItem13	+%d para habilidades de frío
StrSklTabItem14	+%d para habilidades de rayos
StrSklTabItem15	+%d para habilidades de fuego
StrSklTabItem16	+%d para habilidades de invocación
StrSklTabItem17	+%d para habilidades de cambio de forma
StrSklTabItem18	+%d para habilidades elementales
StrSklTabItem19	+%d para trampas
StrSklTabItem20	+%d para disciplina de las sombras
StrSklTabItem21	+%d para artes marciales
x	El personaje '%s' no ha sido utilizado durante 3 meses y ha caducado.
upgraderestrictEx	No hay objetos mágicos, ahuecados, raros, únicos ni fragmentados. No hay joyas.
UndeadDescriptX	 muerto viviente
DemonID	Demonio
strScaryMonDescA	
strScaryMonDescB	Immune a todo daño
strScaryMonDesc1	Inmune al fuego
strScaryMonDesc2	Inmune al frío
strScaryMonDesc3	Inmune a los rayos
strScaryMonDesc4	Inmune al veneno
strScaryMonDesc5	Inmune a los golpes físicos
strScaryMonDesc6	Inmune a la magia
PlayerNameOnItemstring	%s's
PlayerNameOnItemstringX	%s'
SetItemFormatX	%0
x	CLASIFICACIÓN SOFTCORE
x	CLASIFICACIÓN HARDCORE
D2bnetHelp47a	La CLASIFICACIÓN DE EXPANSIÓN muestra a los principales personajes clasificados según su experiencia. La configuración predeterminada muestra la clasificación general, pero puedes ver las listas ordenadas por clases si seleccionas dicha opción.
D2bnetHelp48a	La CLASIFICACIÓN HARDCORE DE EXPANSIÓN muestra a los principales personajes básicos clasificados según su experiencia. La configuración predeterminada muestra la clasificación general, pero puedes ver las listas ordenadas por clases si seleccionas dicha opción.
x	Reparar todo
x	Reparar todo el equipo: 
x	Ningún objeto del equipo necesita ser reparado
Druid	Druida
Assassin	Asesina
partychardru	Druida
partycharass	Asesina
x	No se puede entrar en la partida. Los personajes de Diablo II no pueden unirse a las partidas creadas por un personaje de la expansión de Diablo II.
x	No se puede entrar en la partida. Los personajes de la expansión de Diablo II no pueden unirse a las partidas creadas por un personaje de la versión original de Diablo II.
charmonsterX	%s: %d%%
charmontohit1X	Bonus de daño de fuerza:
charmontohit2X	Bonus de daño de destreza:
Party1X	%s te permite robar su cadáver.
Party2X	%s te permite robar su cadáver.
Party10	%s no te permite volver a acceder a su cadáver.
Party11	%s no te permite volver a acceder a su cadáver.
Party12	sois hostiles entre vosotros
Party13	%s se muestra hostil contigo, pero tú eres amable con él
Party14	%s se muestra hostil contigo, pero tú eres amable con ella
Party 15	%s es amable contigo, pero tú te muestras hostil con él
Party16	%s es amable contigo, pero tú te muestras hostil con ella
Party17	sois amables entre vosotros
Party18	podéis robar el cadáver del otro
Party19	%s puede robar tu cadáver, pero tú no puedes robar el suyo
Party20	%s puede robar tu cadáver, pero tú no puedes robar el suyo
Party21	%s no puede robar tu cadáver, pero tú sí puedes robar el suyo
Party22	%s no puede robar tu cadáver, pero tú sí puedes robar el suyo
Party23	ninguno puede robar el cadáver del otro
Civerb's Ward	Sala de Civerb
Civerb's Icon	Icono de Civerb
Civerb's Cudgel	Porra de Civerb
Hsarus' Iron Heel	Talón de acero de Hsarus
Hsarus' Iron Fist	Puño de hierro de Hsarus
Hsarus' Iron Stay	Cinturón de hierro de Hsarus
Cleglaw's Tooth	Diente de Cleglaw
Cleglaw's Claw	Garra de Cleglaw
Cleglaw's Pincers	Pinzas de Cleglaw
Iratha's Cord	Cuerda de Iratha
